"architectureType","loadIntensity","mix","avg","microservice"
"cqrs","250","0.0536428530419306","1.20527149482697","Admin_getStreets"
"cqrs","300","0.012532403349434","0.287410714285714","Admin_addIntersection"
"cqrs","300","0.0261464724641465","0.352521398002853","Admin_addStreet"
"cqrs","300","0.0571417914623002","0.285066579634465","Admin_getIntersection"
"cqrs","300","0.0346506033084053","0.824225511302476","Admin_getStreet"
"cqrs","300","0.0530575707278865","1.42226502636204","Admin_getStreets"
"cqrs","300","0.13416385371403","1.1494553794829","EndUser_getStreetProperties"
"cqrs","300","0.493463381883963","1.18219115646259","EndUser_nearestIntersection"
"cqrs","300","0.0669700303985379","0.655043441938179","EndUser_shortestPath"
"cqrs","300","0.087223289382891","2.12581890100492","EndUser_topCriticalNodes"
"cqrs","350","0.0150480503503486","0.887598341232227","Admin_addIntersection"
"cqrs","350","0.0269402891935743","0.687307081403044","Admin_addStreet"
"cqrs","350","0.0580526681762262","0.719207616707617","Admin_getIntersection"
"cqrs","350","0.0337333071834828","1.21801479915433","Admin_getStreet"
"cqrs","350","0.0530069356535383","1.96836999663639","Admin_getStreets"
"cqrs","350","0.0167418474869399","0.915583599574015","Admin_setStreetInterrupted"
"cqrs","350","0.133809973790718","1.67292751499001","EndUser_getStreetProperties"
"cqrs","350","0.491557758482358","1.73290750816104","EndUser_nearestIntersection"
"cqrs","350","0.0671991727138196","1.19284823560626","EndUser_shortestPath"
"cqrs","350","0.0871681494820547","2.67467171200655","EndUser_topCriticalNodes"
"mono","150","0.0570237565259622","0.244234563520227","Admin_getIntersection"
"mono","200","0.00903205494008147","0.615936819172113","Admin_addIntersection"
"mono","200","0.0243412896751215","0.706620048504446","Admin_addStreet"
"mono","200","0.0568094610283555","0.668678559057845","Admin_getIntersection"
"mono","200","0.0344359393140361","1.01355771428571","Admin_getStreet"
"mono","200","0.0538578090871524","1.47618377785897","Admin_getStreets"
"mono","200","0.017217969657018","0.904765714285714","Admin_setStreetInterrupted"
"mono","200","0.134398551722781","0.960448901903368","EndUser_getStreetProperties"
"mono","200","0.0673960526574706","0.61080700729927","EndUser_shortestPath"
"mono","250","0.0109923781071661","1.39945296167247","Admin_addIntersection"
"mono","250","0.0255850473016967","2.01469161676647","Admin_addStreet"
"mono","250","0.057221647707687","1.9884344042838","Admin_getIntersection"
"mono","250","0.0341644643609483","2.40445235426009","Admin_getStreet"
"mono","250","0.0536213566203225","2.6869725","Admin_getStreets"
"mono","250","0.0170822321804742","2.32726793721973","Admin_setStreetInterrupted"
"mono","250","0.0170822321804742","2.69264125560538","Admin_setStreetWeight"
"mono","250","0.13416829445785","2.1871707108193","EndUser_getStreetProperties"
"mono","250","0.495767742923896","2.16076904357231","EndUser_nearestIntersection"
"mono","250","0.0668734918993451","1.79799971363116","EndUser_shortestPath"
"mono","250","0.0874411122601402","2.69766184844503","EndUser_topCriticalNodes"
"mono","300","0.0126789976133652","2.49488823529412","Admin_addIntersection"
"mono","300","0.0263275656324582","2.98954815864023","Admin_addStreet"
"mono","300","0.0571673627684964","2.81479256360078","Admin_getIntersection"
"mono","300","0.0344197494033413","3.19146803900325","Admin_getStreet"
"mono","300","0.0530093973747017","3.49724868097081","Admin_getStreets"
"mono","300","0.0172098747016706","3.18139436619718","Admin_setStreetInterrupted"
"mono","300","0.0172098747016706","3.43981365113759","Admin_setStreetWeight"
"mono","300","0.134546539379475","3.09427799334812","EndUser_getStreetProperties"
"mono","300","0.493157070405728","3.05106170365609","EndUser_nearestIntersection"
"mono","300","0.0670681682577566","2.78725048651654","EndUser_shortestPath"
"mono","300","0.0872053997613365","3.46839213170836","EndUser_topCriticalNodes"
"mono","350","0.0143355499836477","3.3275082382763","Admin_addIntersection"
"mono","350","0.0276536211344889","3.9796629434954","Admin_addStreet"
"mono","350","0.0578509393509939","3.75476727386935","Admin_getIntersection"
"mono","350","0.0336494785420982","4.23605399568035","Admin_getStreet"
"mono","350","0.0531632690141357","4.44553041695147","Admin_getStreets"
"mono","350","0.0168247392710491","4.24912095032397","Admin_setStreetInterrupted"
"mono","350","0.0168247392710491","4.51176673866091","Admin_setStreetWeight"
"mono","350","0.133852974308659","4.00611551513506","EndUser_getStreetProperties"
"mono","350","0.491587630364475","3.95669492903607","EndUser_nearestIntersection"
"mono","350","0.0672081107598387","3.73342038388754","EndUser_shortestPath"
"mono","350","0.0870489479995639","4.27375913170528","EndUser_topCriticalNodes"
"role","250","0.134282651967539","1.02624729190422","EndUser_getStreetProperties"
"role","250","0.0670839075179911","0.462919543509272","EndUser_shortestPath"
"role","250","0.0873909049150207","2.10494546649146","EndUser_topCriticalNodes"
"role","300","0.134168390836735","1.57012128368991","EndUser_getStreetProperties"
"role","300","0.493168558593823","1.66210809585003","EndUser_nearestIntersection"
"role","300","0.0669350780070458","1.01874658869396","EndUser_shortestPath"
"role","300","0.0871777665939719","2.70926705152876","EndUser_topCriticalNodes"
"role","350","0.0156043090798468","0.51426376146789","Admin_addIntersection"
"role","350","0.0274685945384918","0.337545928338762","Admin_addStreet"
"role","350","0.0584803693497012","0.346827417380661","Admin_getIntersection"
"role","350","0.0342149529365449","0.649505753138075","Admin_getStreet"
"role","350","0.0537561289860778","1.20493009320905","Admin_getStreets"
"role","350","0.13175977953545","2.12757544479153","EndUser_getStreetProperties"
"role","350","0.490712572921513","2.30437014076289","EndUser_nearestIntersection"
"role","350","0.066747789986042","1.55670375335121","EndUser_shortestPath"
"role","350","0.0872910776278587","3.38046945469455","EndUser_topCriticalNodes"
