"myFile","V2","V3"
"pathData_I1_UB","mc","0.02"
"pathData_I1_UB","mc","0.002"
"pathData_I1_UB","mc","-0.96"
"pathData_I1_UB","mc","large"
"pathData_I1_UB","mr","0.02"
"pathData_I1_UB","mr","0.002"
"pathData_I1_UB","mr","-0.96"
"pathData_I1_UB","mr","large"
"pathData_I1_UB","cr","0.5"
"pathData_I1_UB","cr","1"
"pathData_I1_UB","cr","0"
"pathData_I1_UB","cr","negligible"
"pathData_I1_B","mc","0.43"
"pathData_I1_B","mc","0.6804"
"pathData_I1_B","mc","-0.14"
"pathData_I1_B","mc","negligible"
"pathData_I1_B","mr","0.43"
"pathData_I1_B","mr","0.6878"
"pathData_I1_B","mr","-0.14"
"pathData_I1_B","mr","negligible"
"pathData_I1_B","cr","0.53"
"pathData_I1_B","cr","0.8931"
"pathData_I1_B","cr","0.06"
"pathData_I1_B","cr","negligible"
"pathData_I2_UB","mc","0.01"
"pathData_I2_UB","mc","0.0019"
"pathData_I2_UB","mc","-0.98"
"pathData_I2_UB","mc","large"
"pathData_I2_UB","mr","0"
"pathData_I2_UB","mr","0.0013"
"pathData_I2_UB","mr","-1"
"pathData_I2_UB","mr","large"
"pathData_I2_UB","cr","0.17"
"pathData_I2_UB","cr","0.036"
"pathData_I2_UB","cr","-0.65"
"pathData_I2_UB","cr","large"
"pathData_I2_B","mc","0.19"
"pathData_I2_B","mc","0.0421"
"pathData_I2_B","mc","-0.61"
"pathData_I2_B","mc","large"
"pathData_I2_B","mr","0.67"
"pathData_I2_B","mr","0.2328"
"pathData_I2_B","mr","0.35"
"pathData_I2_B","mr","medium"
"pathData_I2_B","cr","0.88"
"pathData_I2_B","cr","0.0153"
"pathData_I2_B","cr","0.76"
"pathData_I2_B","cr","large"
